"variable","label","class"
"h4","How many people, other than you, were living in your home when you were 10 years","haven_labelled"
"h5","In your home, when you were 10 years old, was there water supply with plumbing (","haven_labelled"
"h6","Were you in school when you were 10 years old?","haven_labelled"
"h7","When you were 10 years old, compared to your school friends, how would you defin","haven_labelled"
"h8","In the place where you lived when you were 10 years old, were there books?","haven_labelled"
"h9","Approximately, how many books were there in the place where you were living when","haven_labelled"
"h10","Considering your childhood, since your birth to 15 years old, you would say that","haven_labelled"
"h11","Would you say that your health, since your birth to 15 years old, was:","haven_labelled"
"h12","Up to 15 years old, were you absent from school for a month or longer due to hea","haven_labelled"
"h13","From your birth until you were 15 years old, did you have measles, rubella, chic","haven_labelled"
"h14","From your birth until you were 15 years old, did you have poliomyelitis (polio)?","haven_labelled"
"h15","From your birth until you were 15 years old, did you have asthma or other respir","haven_labelled"
"h16","From your birth until you were 15 years old, did you have allergy (not asthma)?","haven_labelled"
"h17","From your birth until you were 15 years old, did you have severe diarrhea (typho","haven_labelled"
"h18","From your birth until you were 15 years old, did you have meningitis or encephal","haven_labelled"
"h19","From your birth until you were 15 years old, did you have chronic ear problems?","haven_labelled"
"h20","From your birth until you were 15 years old, did you have any speech issues?","haven_labelled"
"h21","From your birth until you were 15 years old, did you have eyesight difficulties,","haven_labelled"
"h22","From your birth until you were 15 years old, did you have tuberculosis?","haven_labelled"
"h23","From your birth until you were 15 years old, were you vaccinated against any dis","haven_labelled"
"h24","From your birth until you were 15 years old, have you ever had a lack of food in","haven_labelled"
"h25","Thinking about your childhood and adolescence, would you say that your current s","haven_labelled"
"h26","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"i0_1"," Have you ever had any work in your life FOR AT LEAST 6 CONSECUTIVE MONTHS, for","haven_labelled"
"i0_2"," What is the main reason why you have never worked?","haven_labelled"
"i0_3","How old were you when you STARTED working, FOR AT LEAST 6 MONTHS, receiving paym","haven_labelled"
"i0_5","How old are you when you STOPPED working?","haven_labelled"
"i0_7"," For most of your life, what was your main occupation?","haven_labelled"
"i0_8"," During most of your life, would you say that:","haven_labelled"
"i0_9","How would you describe the physical demands of the job you had for the most part","haven_labelled"
"i0_10"," DURING YOUR LIFE, how often did you have to work intensely, that is, produce in","haven_labelled"
"i0_11","Did the occupations that you held THROUGHOUT YOUR LIFE required formal training","haven_labelled"
"i0_12"," In general, how do you feel about the jobs you have had during your life?","haven_labelled"
"i0_13","Have you worked with a monetary compensation in the LAST 12 MONTHS?","haven_labelled"
"i0_14","In the LAST 12 MONTHS, for how many MONTHS have you worked with a monetary compe","haven_labelled"
"i0_15","In the LAST 12 MONTHS, what was your main occupation?","haven_labelled"
"i0_16","During the LAST 12 MONTHS, would you say that most of the time:","haven_labelled"
"i0_17","How would you describe the physical demands of the job you had most of the time,","haven_labelled"
"i0_18","How many people, including you, work(ed) there?","haven_labelled"
"i0_19"," Did you have responsibility to supervise the work of other people?","haven_labelled"
"i0_20"," You are (was) satisfied with your work.","haven_labelled"
"i0_21"," The work has (had) a lot of physical demands.","haven_labelled"
"i0_22"," You are (was) under constant time pressure due to a heavy workload.","haven_labelled"
"i0_23"," You have (had) little freedom to decide how you do (did) your work.","haven_labelled"
"i0_24","You have (had) freedom to develop new skills.","haven_labelled"
"i0_25","You receive (received) adequate support in difficult situations at work.","haven_labelled"
"i0_26","Considering all the efforts and achievements, you consider that your salary is (","haven_labelled"
"i0_27"," You consider(ed) your job to be very safe.","haven_labelled"
"i0_28"," Have you worked with a monetary compensation in the LAST 30 DAYS?","haven_labelled"
